Category,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30
Alcohol & Bars,0.0,30.0,19.0,18.0,72.98
Auto Insurance,75.0,75.0,75.0,75.0,75.0
Coffee Shops,0.0,6.5,9.5,14.0,11.0
Credit Card Payment,2420.1,1087.22,1596.94,2222.9700000000003,3960.14
Electronics & Software,353.08,0.0,0.0,0.0,0.0
Entertainment,0.0,0.0,0.0,0.0,0.0
Fast Food,0.0,0.0,0.0,0.0,0.0
Food & Dining,0.0,0.0,0.0,0.0,0.0
Gas & Fuel,72.0,105.63,36.42,71.05,66.5
Groceries,2.02,39.33,330.54,48.83,139.24
Haircut,0.0,30.0,30.0,19.0,0.0
Home Improvement,58.95,9200.0,377.35,259.79,26.25
Internet,75.0,75.0,75.0,75.0,75.0
Mobile Phone,65.0,65.0,65.0,65.0,65.0
Mortgage & Rent,1100.0,1100.0,1100.0,1100.0,1100.0
Movies & DVDs,0.0,0.0,0.0,0.0,0.0
Music,10.69,10.69,10.69,10.69,10.69
Paycheck,4000.0,4000.0,4500.0,6750.0,4500.0
Restaurants,230.98,23.24,180.64,134.85,172.34
Shopping,71.79,13.09,103.08,13.09,85.38
Television,13.9,13.9,13.9,13.9,13.9
Utilities,125.0,125.0,125.0,125.0,125.0
